Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No
England,3320.0,0.0,5.0,2.0,7.0
Portugal,871.0,0.0,0.0,0.0,34.0
Spain,6884.0,0.0,13.0,2.0,0.0
United States,21761.0,0.0,4.0,41.0,11.0
Canada,1320.0,12.0,1.0,5.0,0.0
Sweden,168.0,0.0,0.0,0.0,0.0
Italy,805.0,0.0,18.0,19.0,4.0
France,3713.0,0.0,1.0,2.0,1.0
Belgium,726.0,0.0,2.0,1.0,0.0
Australia,129.0,0.0,2.0,9.0,0.0
Germany,3530.0,0.0,18.0,19.0,16.0
Netherlands,1195.0,0.0,0.0,1.0,0.0
Israel,244.0,0.0,3.0,5.0,0.0
Switzerland,485.0,0.0,0.0,3.0,0.0
Greece,66.0,0.0,2.0,2.0,0.0
Austria,286.0,0.0,2.0,1.0,0.0
Argentina,221.0,0.0,0.0,11.0,1.0
Denmark,181.0,0.0,0.0,3.0,1.0
Morocco,3.0,0.0,0.0,1.0,0.0
Slovenia,45.0,0.0,0.0,2.0,0.0
Scotland,89.0,0.0,1.0,1.0,0.0
Czech Republic,58.0,0.0,1.0,6.0,0.0
United Arab Emirates,16.0,0.0,0.0,1.0,0.0
Finland,30.0,0.0,0.0,3.0,0.0
Wales,45.0,0.0,0.0,0.0,0.0
Northern Ireland,30.0,0.0,0.0,0.0,0.0
Sudan,2.0,1.0,0.0,0.0,0.0
Bolivia,113.0,0.0,5.0,2.0,1.0
Iran,1.0,3.0,0.0,0.0,0.0
Ecuador,59.0,1.0,2.0,1.0,0.0
Malta,33.0,0.0,0.0,1.0,0.0
Ireland,160.0,0.0,0.0,0.0,0.0
Mexico,788.0,0.0,0.0,3.0,0.0
Pakistan,0.0,1.0,1.0,0.0,0.0
French Guiana,0.0,0.0,0.0,0.0,0.0
Thailand,7.0,0.0,4.0,4.0,0.0
Peru,1808.0,0.0,2.0,2.0,0.0
Brazil,5726.0,0.0,4.0,20.0,4.0
Malaysia,0.0,0.0,0.0,0.0,0.0
Hungary,71.0,0.0,0.0,0.0,0.0
Norway,83.0,0.0,0.0,3.0,0.0
Paraguay,1.0,0.0,0.0,2.0,0.0
Costa Rica,3.0,2.0,1.0,3.0,0.0
Gibraltar,6.0,0.0,1.0,0.0,0.0
Mauritius,0.0,0.0,0.0,2.0,1.0
Haiti,0.0,0.0,0.0,0.0,0.0
Uruguay,5.0,0.0,0.0,5.0,0.0
Latvia,4.0,0.0,0.0,1.0,0.0
Cayman Islands,0.0,1.0,0.0,0.0,0.0
Kosovo,0.0,0.0,1.0,0.0,0.0
Turkey,11.0,0.0,0.0,0.0,0.0
Bahamas,2.0,0.0,0.0,1.0,0.0
Ghana,76.0,317.0,1.0,0.0,0.0
India,11.0,0.0,4.0,4.0,1.0
Iceland,12.0,0.0,0.0,1.0,0.0
Poland,145.0,0.0,1.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,0.0,0.0
Uganda,0.0,6.0,0.0,0.0,0.0
Cambodia,0.0,0.0,0.0,0.0,0.0
Malawi,0.0,0.0,0.0,0.0,0.0
Venezuela,3.0,0.0,0.0,3.0,0.0
Romania,36.0,0.0,7.0,0.0,0.0
Georgia,2.0,0.0,0.0,0.0,0.0
Slovakia,14.0,0.0,2.0,3.0,0.0
Luxembourg,54.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,1.0,1.0,0.0
Chile,486.0,0.0,2.0,2.0,0.0
Serbia,31.0,0.0,0.0,0.0,0.0
Lebanon,8.0,0.0,0.0,4.0,0.0
South Korea,3.0,0.0,2.0,1.0,0.0
Singapore,16.0,0.0,8.0,4.0,0.0
South Africa,5.0,0.0,0.0,3.0,2.0
Taiwan,4.0,0.0,1.0,3.0,0.0
Colombia,938.0,0.0,0.0,3.0,0.0
Croatia,27.0,0.0,0.0,1.0,0.0
Bulgaria,5.0,0.0,1.0,3.0,0.0
Somalia,0.0,3.0,3.0,1.0,0.0
Zambia,0.0,1.0,0.0,1.0,0.0
Fiji,0.0,0.0,0.0,0.0,0.0
Benin,3.0,0.0,0.0,2.0,1.0
Estonia,10.0,0.0,0.0,1.0,0.0
Puerto Rico,137.0,0.0,0.0,6.0,0.0
Panama,12.0,0.0,0.0,3.0,0.0
Dominican Republic,9.0,0.0,4.0,1.0,0.0
Jamaica,9.0,0.0,0.0,2.0,4.0
New Zealand,5.0,0.0,0.0,4.0,0.0
Russia,1.0,0.0,0.0,1.0,0.0
Bosnia And Herzegovina,3.0,0.0,0.0,0.0,0.0
Saudi Arabia,8.0,0.0,1.0,3.0,0.0
Martinique,6.0,0.0,0.0,1.0,0.0
Barbados,1.0,0.0,0.0,0.0,0.0
Qatar,3.0,0.0,1.0,0.0,0.0
Bermuda,1.0,0.0,0.0,0.0,0.0
Japan,4.0,0.0,4.0,3.0,0.0
Guadeloupe,1.0,0.0,0.0,1.0,0.0
